timestamp,snow,rain,maxwspd,precip,debris
datetime,int,int,float,float,int
T,,,,,
2011-06-18,0,0,23,0.00,71
2011-06-19,0,0,13,0.00,86
2011-06-20,0,1,27,31.24,22
2011-06-21,0,1,45,2.03,105
2011-06-22,0,0,34,0.51,115
2011-06-23,0,1,32,1.27,434
2011-06-24,0,0,21,0.00,228
2011-06-25,0,1,16,0.00,258
2011-06-26,0,0,24,0.00,76
2011-06-27,0,1,29,3.56,38
2011-06-28,0,0,23,0.00,173
2011-06-29,0,0,19,0.00,236
2011-06-30,0,1,55,0.25,189
2011-07-01,0,1,34,0.76,180
2011-07-02,0,0,19,0.00,185
2011-07-03,0,0,21,0.00,64
2011-07-04,0,0,23,0.00,23
2011-07-05,0,0,16,0.00,29
2011-07-06,0,0,27,0.00,191
2011-07-07,0,1,19,1.52,152
2011-07-08,0,0,21,0.00,156
2011-07-09,0,0,16,0.00,134
2011-07-10,0,0,19,0.00,71
2011-07-11,0,1,82,1.52,31
2011-07-12,0,1,21,0.00,487
2011-07-13,0,0,27,0.00,491
2011-07-14,0,0,23,0.00,449
2011-07-15,0,0,21,0.00,435
2011-07-16,0,0,13,0.00,223
2011-07-17,0,0,23,0.00,74
2011-07-18,0,0,29,0.00,48
2011-07-19,0,0,19,0.00,232
2011-07-20,0,0,34,0.00,215
2011-07-21,0,0,24,0.00,179
2011-07-22,0,1,52,2.54,130
2011-07-23,0,1,40,0.25,114
2011-07-24,0,1,32,0.00,50
2011-07-25,0,0,24,0.00,37
2011-07-26,0,0,24,0.00,190
2011-07-27,0,1,26,0.00,173
2011-07-28,0,1,39,0.00,220
2011-07-29,0,1,27,9.14,225
2011-07-30,0,0,13,0.00,159
2011-07-31,0,0,16,0.00,67
2011-08-01,0,0,16,0.00,32
2011-08-02,0,1,37,7.11,220
2011-08-03,0,0,27,0.00,145
2011-08-04,0,0,21,0.00,220
2011-08-05,0,0,19,0.00,184
2011-08-06,0,1,21,17.53,156
2011-08-07,0,1,29,12.45,79
2011-08-08,0,1,26,7.37,31
2011-08-09,0,0,34,0.00,174
2011-08-10,0,0,21,0.00,158
2011-08-11,0,0,16,0.00,153
2011-08-12,0,0,24,0.00,155
